Country,Forest Area 1990,Forest Area 2015,Pct Forest Area 2015
Saint Pierre and Miquelon,34,28,12.17391304
Saint Vincent and the Grenadines,250,270,69.23076923
Samoa,1300,1710,60.42402827
San Marino,0,0,0
Sao Tome and Principe,560,536,55.83333333
Saudi Arabia,9770,9770,0.454484135
Senegal,93480,82730,42.96992676
Serbia,23130,27200,31.0999314
Seychelles,406.66,406.66,88.4062697
Sierra Leone,31180,30440,42.50209439
Singapore,163.5,163.5,23.35714286
Slovakia,19220,19400,40.34102724
Slovenia,11880,12480,61.96623635
Solomon Islands,23240,21850,78.06359414
Somalia,82820,63630,10.14282526
South Africa,92410,92410,7.609080504
South Sudan,71570,71570,11.3292071
Spain,138094.9,184178.7,36.92435846
Sri Lanka,22840,20700,33.00908946
State of Palestine,90.8,91.7,1.523255814
Sudan,235703.1,192099.4,10.2911129
Suriname,154300,153320,95.4313457
Svalbard and Jan Mayen Islands,0,0,0
Swaziland,4720,5860,34.06976744
Sweden,280630,280730,68.41399815
Switzerland,11510,12540,31.35
Syrian Arab Republic,3720,4910,2.673855035
Tajikistan,4080,4120,2.965308766
Thailand,140050,163990,32.09888626
The former Yugoslav Republic of Macedonia,9120,9980,39.57176844
Timor-Leste,9660,6860,46.133154
Togo,6850,1880,3.456517742
Tokelau,0,0,0
Tonga,90,90,12.5
Trinidad and Tobago,2407,2344.76,45.70682261
Tunisia,6430,10410,6.700566426
Turkey,96220,117150,15.22159999
Turkmenistan,41270,41270,8.782159045
Turks and Caicos Islands,344,344,80
Tuvalu,10,10,33.33333333
Uganda,47510,20770,10.39487513
Ukraine,92740,96570,16.66781732
United Arab Emirates,2450,3226,3.858851675
United Kingdom of Great Britain and Northern Ireland,27780,31440,12.99549456
United Republic of Tanzania,559200,460600,51.99819372
United States of America,3024500,3100950,33.84607157
United States Virgin Islands,235.8,176,50.28571429
Uruguay,7978,18450,10.54165238
Uzbekistan,30450,32199,7.307076965
Vanuatu,4400,4400,36.09515997
Venezuela (Bolivarian Republic of),520260,466830,52.92557111
Viet Nam,93630,147730,47.64408037
Wallis and Futuna Islands,58,58.3,41.73228346
Western Sahara,7070,7070,2.657894737
Yemen,5490,5490,1.039831809
Zambia,528000,486350,65.4232637
Zimbabwe,221640,140620,36.35000646
